statefips,year,month,ds_o3_pred
21,2011,9,39.726006897392296
21,2011,10,37.84084828679654
21,2011,11,33.442842284855146
21,2011,12,25.39919296234734
21,2012,1,27.333298434933187
21,2012,2,32.10299184465933
21,2012,3,41.60972719019098
21,2012,4,45.833166700973344
21,2012,5,53.20149953186269
21,2012,6,58.719052465204605
21,2012,7,55.34171357411932
21,2012,8,55.360141208855666
21,2012,9,41.043511433549995
21,2012,10,35.34279412118775
21,2012,11,31.783491694694032
21,2012,12,27.496248447906503
21,2013,1,28.90050252026269
21,2013,2,35.694065713149726
21,2013,3,41.85879630404767
21,2013,4,46.7010233379688
21,2013,5,44.17588076489969
21,2013,6,48.644417808363485
21,2013,7,41.685552182390666
21,2013,8,43.81411085812792
21,2013,9,43.5733848210577
21,2013,10,31.45863920603282
21,2013,11,29.396187575730426
21,2013,12,28.153675231261637
21,2014,1,31.05502628192466
21,2014,2,35.49581002942274
21,2014,3,41.222011860219006
21,2014,4,49.317411165639996
21,2014,5,46.6885975801321
21,2014,6,44.365930809010344
21,2014,7,44.790833814039665
21,2014,8,45.677597062006484
21,2014,9,39.821480785124535
21,2014,10,31.89417819035508
21,2014,11,31.14183814401034
21,2014,12,21.542321073147672
22,2011,1,34.99580788208049
22,2011,2,37.79268720026503
22,2011,3,42.52922934480044
22,2011,4,45.1443782474152
22,2011,5,44.75103930557686
22,2011,6,44.12167238956512
22,2011,7,37.777410226296126
22,2011,8,50.388328480627685
22,2011,9,48.07018249266999
22,2011,10,47.563134658379255
22,2011,11,35.294294566672384
22,2011,12,28.38636606708253
22,2012,1,33.40956871099553
22,2012,2,32.96940534819742
22,2012,3,41.19735698554062
22,2012,4,47.197382301888936
22,2012,5,47.99890311724747
22,2012,6,46.383250646889515
22,2012,7,36.57167126558241
22,2012,8,40.699261600236866
22,2012,9,42.14294972348089
22,2012,10,42.777923591855036
22,2012,11,37.74724983835375
22,2012,12,31.949670798340886
22,2013,1,31.57233307474679
22,2013,2,37.633201661427506
22,2013,3,44.95433991817622
22,2013,4,39.70475943765412
22,2013,5,42.72127216143302
22,2013,6,39.316539393780616
22,2013,7,39.085838604478205
22,2013,8,40.046522463782615
22,2013,9,43.69143851457289
22,2013,10,35.92501282024356
22,2013,11,31.93604548063103
22,2013,12,28.511463873613476
22,2014,1,35.275489472677485
22,2014,2,33.986422642304895
22,2014,3,41.893255410376135
22,2014,4,43.06526656195178
22,2014,5,45.234906445432124
22,2014,6,31.870697648208527
22,2014,7,39.21701189185492
22,2014,8,36.264954405082015
22,2014,9,33.837703238028006
22,2014,10,39.88573947865353
22,2014,11,35.19574096978419
22,2014,12,24.762533463739675
23,2011,1,33.40641477983702
23,2011,2,39.147653385404375
23,2011,3,42.14405901908325
23,2011,4,44.24224979253748
23,2011,5,35.49944783490141
23,2011,6,34.960706901907116
23,2011,7,37.94991443431539
23,2011,8,34.97102720287571
23,2011,9,28.892446950247873
23,2011,10,29.537334997025955
23,2011,11,30.872296732107884
23,2011,12,27.95908544279367
23,2012,1,29.55756069378588
23,2012,2,34.93941084467707
23,2012,3,41.54666605955873
23,2012,4,44.416162569738745
23,2012,5,39.03403631740377
23,2012,6,34.574214013142054
23,2012,7,35.75676385247084
23,2012,8,37.30919791651285
23,2012,9,30.92821439979054
23,2012,10,29.82232671937394
23,2012,11,29.69783240139347
23,2012,12,29.77882345334294
23,2013,1,33.98558917853065
23,2013,2,37.73448881584418
23,2013,3,42.589235843648694
23,2013,4,46.78952644531597
23,2013,5,38.892178226984385
23,2013,6,37.36993719929402
23,2013,7,33.37215370845011
23,2013,8,34.66112157967516
23,2013,9,30.02608577181486
23,2013,10,29.76805567893017
23,2013,11,30.099113583632075
23,2013,12,27.556990840563483
23,2014,1,31.64393645829753
23,2014,2,37.32031891808962
23,2014,3,40.87962024261607
23,2014,4,44.32780849020626
23,2014,5,36.3469095511899
23,2014,6,33.881511489015416
23,2014,7,37.659568038929585
23,2014,8,29.555843988248274
23,2014,9,30.21267030094732
23,2014,10,27.389474129024308
23,2014,11,30.975306698988987
23,2014,12,28.299286739454793
24,2011,1,27.96084118184498
24,2011,2,36.60632431184696
24,2011,3,41.33946920829397
24,2011,4,43.97204823663126
24,2011,5,49.89975785584474
24,2011,6,58.88513734110551
24,2011,7,62.69316045227979
24,2011,8,48.68377604331616
24,2011,9,33.079300015522435
24,2011,10,29.011986098555287
24,2011,11,29.84680317329874
24,2011,12,23.139714619989917
24,2012,1,26.233458060161432
24,2012,2,32.12114449593917
24,2012,3,40.66723544695092
